,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
829,201822834W,Institut photovoltaïque d'Ile-de-France,UMR-IPVF,2018,Unité mixte,22,2,https://portail.polytechnique.edu/umr-ipvf/fr,"INSTITUT PHOTOVOLTAIQUE D'ILE DE FRANCE, 18 bd Thomas Gobert",91120,Palaiseau,GUILLEMOLES,Jean-Francois,DIR,;;UMR 9006;;;,Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech;Ecole Polytechnique;Centre national de la recherche scientifique;INSTITUT PHOTOVOLTAIQUE D'ILE DE France;Institut polytechnique de Paris;Université Paris sciences et lettres,ENS CHIM. PARIS;EC. POLYTECHNIQUE;CNRS;IPVF;IP PARIS;PSL,AUT_ETAB;AUT_ETAB;EPST;PRIVE;AUT_ETAB;UNIV,Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Société de droit privé française;Autres établissements ESR;Université,0753375L;0911568K;0753639Y;;0912403T;0756036D,13002142100016;19911568400011;18008901303720;53907279300034;13002562000019;13002614900018,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,201019868G;201019866E,,200918560P,intégration,I,2018,2;4;8,Physique;Chimie;Sciences pour l'ingénieur,PE4;PE8;PE3;PE5,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822834W&PUBLIC=OK,
834,202023506T,ERL SIMOPRO,,2020,Unité mixte,22,2,,CEA SACLAY - Centre d’étude de Saclay ST AUBIN,91191,GIF SUR YVETTE CEDEX,SERVENT,Denis,DIR,EMR 9004;;;,"Centre national de la recherche scientifique;Commissariat à l'énergie atomique et aux énergies alternatives;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Université Paris-Saclay",CNRS;CEA;INRAE;U PARIS-SACLAY,EPST;EPIC;EPST;UNIV,Organismes de type EPST;Organismes de type EPIC;Organismes de type EPST;Université,0753639Y;0912281K;;0912408Y,18008901303720;77568501900587;18007003901803;13002602400013,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,200722607X,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023506T&PUBLIC=OK,
836,201822758N,Laboratoire de Bioimagerie et Pathologies (UMR 7021),LBP,2018,Unité mixte,22,2,http://www-lbp.unistra.fr/,"UNIVERSITE DE STRASBOURG, Faculté de pharmacie, 74 route du Rhin, BP 60024",67401,ILLKIRCH CEDEX,DONTENWILL;MELY,Monique;Yves,DIR-ADJ;DIR,UMR 7021;UMR 7021,Centre national de la recherche scientifique;Université Strasbourg,CNRS;U. STRASBOURG,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0673021V,18008901303720;13000545700010,TUTE;TUTE,établissement tutelle;établissement tutelle,,,200918469R,renouvellement,R,2018,,,LS4,"Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases))",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822758N&PUBLIC=OK,
844,199712084C,Laboratoire d'astrophysique de Bordeaux,LAB,1997,Unité mixte,22,2,http://astrophy.u-bordeaux.fr/,Allée Geoffroy Saint-Hilaire,33615,PESSAC CEDEX,WAKELAM;BORDE,Valentine;Pascal,DIR-ADJ;DR,UMR 5804;UMR 5804,Centre national de la recherche scientifique;Université de Bordeaux,CNRS;BORDEAUX,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0333298F,18008901303720;13001835100010,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,3,"Sciences de la terre et de l'univers, espace",PE9,"Universe Sciences : Astro-physics/-chemistry/-biology;solar system;planetary systems;stellar, galactic and extragalactic astronomy;cosmology;space sciences;astronomical instrumentation and data",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712084C&PUBLIC=OK,grid.469948.e
849,199812904P,UMR 8576 - Unité de glycobiologie structurale et fonctionnelle,UGSF,1998,Unité mixte,22,2,http://ugsf-umr-glycobiologie.univ-lille1.fr,Bâtiment C9,59655,VILLENEUVE D ASCQ CEDEX,GUERARDEL,Yann,,UMR 8576;UMR 8576;USC 1409,"Centre national de la recherche scientifique;Université de Lille;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement",CNRS;LILLE;INRAE,EPST;UNIV;EPST,Organismes de type EPST;Université;Organismes de type EPST,0753639Y;0597065J;,18008901303720;13002358300011;18007003901803,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,202023975C;202023974B;202023973A;202023972Z;202023971Y;202023970X;202023969W;202023967U;202023966T;202023965S;202023964R;202023963P;202023962N,,,,,,4;5,"Chimie;Biologie, médecine et santé",LS1;LS2;LS6;LS5,"Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199812904P&PUBLIC=OK,grid.464109.e
850,201622929H,Synthèse & Analyse d'images,ASALI,2016,Equipe interne,1,1,http://www.xlim.fr/recherche/pole-mathematiques-informatique-image/synthese-analyse-dimages,"123, avenue Albert Thomas",87060,LIMOGES CEDEX,MENEVEAUX,Daniel,,;;,Université Poitiers;Université Limoges;Centre national de la recherche scientifique,POITIERS;LIMOGES;CNRS,UNIV;UNIV;EPST,Université;Université;Organismes de type EPST,0860856N;0870669E;0753639Y,19860856400375;19870669900321;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,201220195D,,,,,1,Mathématiques et leurs interactions,PE1,"Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622929H&PUBLIC=OK,
851,201922948R,"BIOLOGIE, ANTHROPOLOGIE, BIOMETRIE, EPIGENETIQUE, LIGNEES : DE LA DIVERSITÉ DES POPULATIONS À L'INDIVIDU, DE L'IDENTIFICATION À L'IDENTITÉ",BABEL,2019,Unité mixte,22,2,,"IML, 2 Place Mazas",75012,Paris,BACON;LUDES,Anne-Marie;Bertrand,DIR-ADJ;DIR,UMR 8045;UMR 8045,Centre national de la recherche scientifique;Université de Paris,CNRS;U PARIS,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0755976N,18008901303720;13002573700011,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,5,"Biologie, médecine et santé",LS2,"Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922948R&PUBLIC=OK,
865,201922963G,Institut des Neurosciences Paris Saint-Pères,SPPIN,2019,Unité mixte,22,2,https://www.sppin.fr/,UNIVERSITE PARIS DESCARTES UFR Biomédicale 45 rue des Saints-Pères,75006,PARIS,OHEIM,Martin,DIR,UMR 8003;UMR 8003,Centre national de la recherche scientifique;Université de Paris,CNRS;U PARIS,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0755976N,18008901303720;13002573700011,TUTE;TUTE,établissement tutelle;établissement tutelle,,,201420881R;200212774F;201420754C;200212775G,éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion,EF;EF;EF;EF,2019;2019;2019;2019,5,"Biologie, médecine et santé",LS5,"Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922963G&PUBLIC=OK,
868,201119435G,Laboratoire Interdisciplinaire pour la Sociologie Economique,LISE,2011,Unité mixte,22,2,http://lise-cnrs.cnam.fr/,2 rue Conté Case: 1LAB40,75003,PARIS,REY;GAUDART,Frédéric;Corinne,Directeur adjoint;Directrice,UMR 3320;UMR 3320,Conservatoire National des Arts et Métiers Paris;Centre national de la recherche scientifique,CNAM PARIS;CNRS,AUT_ETAB;EPST,Autres établissements ESR;Organismes de type EPST,0753471R;0753639Y,19753471200017;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,7,Sciences de la société,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119435G&PUBLIC=OK,grid.463986.6
874,200316985D,Structure et Instabilité des Génomes,StrInG,2009,Unité mixte,22,2,https://biophysique.mnhn.fr/site/Pr%C3%A9sentation+de+l%27unit%C3%A9,43 rue Cuvier,75231,PARIS CEDEX 05,ALBERTI;CONCORDET;BOULE,Patrizia;Jean-Paul;Jean-Baptiste,DIR-ADJ;DIR-ADJ;DIR,UMR 7196;UMR 7196;U 1154,Muséum National d'Histoire Naturelle Paris;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale,MUSEUM PARIS;CNRS;INSERM,AUT_ETAB;EPST;EPST,Autres établissements ESR;Organismes de type EPST;Organismes de type EPST,0753494R;0753639Y;0755364Y,18004417400019;18008901303720;18003604800015,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,200316985D,200316985D;201420855M,,,,,4;5,"Chimie;Biologie, médecine et santé",PE5,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200316985D&PUBLIC=OK,grid.503191.f
891,202023751J,"Photodynamique, Confinement, Solvatation",,2020,Equipe interne,1,1,http://lasir.cnrs.fr,,,,DE WAELE,Vincent,DIR,;,Centre national de la recherche scientifique;Université de Lille,CNRS;LILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0597065J,18008901303720;13002358300011,TUTE;TUTE,établissement tutelle;établissement tutelle,,199812845A,,,,,4,Chimie,PE4,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023751J&PUBLIC=OK,
895,202023769D,Microbiologie et Physique Cellulaire de l'Infection,,2020,Equipe interne,1,1,https://www.ciil.fr,"Institut Pasteur de Lille, 1 rue du Professeur Calmette",59000,LILLE,LAFONT,Frank,,;;;;;,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Institut Pasteur de Lille;Université de Lille;Centre Hospitalier Universitaire de Lille;Université de la Guyane,CNRS;INSERM;INST PASTEUR LILLE;LILLE;CHUL;GUYANE,EPST;EPST;FONDATION;UNIV;MEDIC;UNIV,"Organismes de type EPST;Organismes de type EPST;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);Université;Etablissements de santé;Université",0753639Y;0755364Y;0596852C;0597065J;;9730429D,18008901303720;18003604800015;78369683400010;13002358300011;26590671900017;13002059700014,TUTE;TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,201019101Y,,,,,5,"Biologie, médecine et santé",LS6,"Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023769D&PUBLIC=OK,
896,202023779P,Tolérance Pronostic Système de Systèmes,ToPSyS,2020,Equipe interne,1,1,https://www.cristal.univ-lille.fr,Université de Lille - Bâtiment ESPRIT - Cité Scientifique,59655,Villeneuve d'Ascq,MERZOUKI,Rochdi,,;;;;,Centrale Lille Institut;Centre national de la recherche scientifique;Université de Lille;Institut national de la recherche en informatique et automatique;Ecole Nationale Supérieure Mines - Télécom Lille Douai,CLI;CNRS;LILLE;INRIA;IMT Lille Douai,AUT_ETAB;EPST;UNIV;EPST;AUT_ETAB,Autres établissements ESR;Organismes de type EPST;Université;Organismes de type EPST;Autres établissements ESR,0597139P;0753639Y;0597065J;0780491K;0597060D,19590349700012;18008901303720;13002358300011;18008904700013;18009202500139,TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,,201521249L,,,,,9,Sciences et technologies de l'information et de la communication,PE6,"Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023779P&PUBLIC=OK,
897,201523789X,Equipe Dynamique Emotionnelle et Pathologies,DEEP,2015,Equipe interne,1,1,https://www.scalab.cnrs.fr/index.php/fr/equipes/deep,Université de Lille - Campus Pont de Bois - Rue du Barreau,59655,Villeneuve d'Ascq,NANDRINO,Jean-Louis,,;,Centre national de la recherche scientifique;Université de Lille,CNRS;LILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0597065J,18008901303720;13002358300011,TUTE;TUTE,établissement tutelle;établissement tutelle,,201521325U,,,,,6,Sciences humaines et humanités,SH4,"The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201523789X&PUBLIC=OK,
898,202123791Y,Transitions Energétiques et Environnementales,TREE,2021,Unité mixte,22,2,https://tree.univ-pau.fr,Institut Claude Laugénie - Avenue du doyen Poplawwski,64013,PAU,ARNAULD DE SARTRE,Xavier,DIR,UMR 6031;,Université Pau et Pays de l'Adour;Centre national de la recherche scientifique,PAU;CNRS,UNIV;EPST,Université;Organismes de type EPST,0640251A;0753639Y,19640251500270;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,199113217K;201622032H;199513636Y;201622032H,fusion;fusion;fusion;essaimage-fusion,F;F;F;SF,2021;2021;2021;2021,7,Sciences de la société,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123791Y&PUBLIC=OK,
907,202123704D,"Unité de biologie moléculaire, cellulaire et du développement",MCD,2021,Unité mixte,22,2,,"CBI - bâtiment IBCG 118, route de Narbonne",31062,TOULOUSE CEDEX 9,BYSTRICKY,Kerstin,DIR,;UMR 5077,Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique,TOULOUSE 3;CNRS,UNIV;EPST,Université;Organismes de type EPST,0311384L;0753639Y,19311384200010;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,201622188C,199911785U;199911774G;199311989S,fusion;fusion;fusion,F;F;F,2021;2021;2021,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123704D&PUBLIC=OK,
910,200810700A,Institut de Chimie de Picardie FR 3085,,2008,Structures Fédératives de Recherche,3,3,,33 rue Saint Leu,80039,AMIENS CEDEX 1,BECUWE;BAUDRIN;WADOUACHI,Matthieu;Emmanuel;ANNE,DIR-ADJ;Directeur;DIR,;FR 3085,Université Picardie Jules-Verne Amiens;Centre national de la recherche scientifique,AMIENS;CNRS,UNIV;EPST,Université;Organismes de type EPST,0801344B;0753639Y,19801344300017;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,4,Chimie,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810700A&PUBLIC=OK,
911,200212224H,Institut d'Electronique et des Technologies du numéRique (IETR),IETR,2002,Unité mixte,22,2,http://www.ietr.fr,263 Av.Général Leclerc,35042,RENNES CEDEX,SEGUIER;BESNIER;PALICOT;DIOURIS;JOUGA;BESNIER;GUEGUEN;SAULEAU;ETTORRE;RAZBAN;CASTEL;GUIFFARD;CRUSSIERE;CHARGE;EL ZEIN;UGUEN;ALLAIN-BAILHACHE;BOURLIER;CHEHDI;MORIN;ZHADOBOV;ZHADOBOV;LE BIHAN,Renaud;Philippe;Jacques;Jean-François;Bernard;Philippe;Hervé;Ronan;Mauro;Tchanguiz;Xavier;Benoit;Matthieu;Pascal;Ghais;Bernard;Sophie;Christophe;Kacem;Luce;Maxim;Maxim;France,DIR-équipe;DIR-équipe;DIR Equipe;DIR-ADJ;DIR-ADJ;DIR-ADJ;DIR Equipe;DIR;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe;DIR-équipe,UMR 6164;UMR 6164;UMR 6164;UMR 6164;UMR 6164,Institut National des Sciences Appliquées Rennes;Université Rennes 1;Centre national de la recherche scientifique;CentraleSupélec;Nantes Université,INSA RENNES;RENNES 1;CNRS;CENTRALESUPELEC;Nantes Université,AUT_ETAB;UNIV;EPST;AUT_ETAB;UNIV,Autres établissements ESR;Université;Organismes de type EPST;Autres établissements ESR;Université,0350097R;0350936C;0753639Y;0912341A;0442953W,19350097200016;19350936100013;18008901303720;13002076100016;13002974700016,TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,200016698E;200016697D;200816180G,fusion;fusion;intégration,F;F;I,2002;2002;2012,2;9,Physique;Sciences et technologies de l'information et de la communication,PE7,"Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200212224H&PUBLIC=OK,grid.462104.5
